source_file,original,s1,assumption,preprocessed,canonical
first_file.json,"A\,T\,(B^{T} + 2\,X) = C^{T}\,X","A^{T}\,B^{T} + 2\,A^{T}\,X = C^{T}\,X",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A*T(B**T + 2*X)=C**T*X,A*T(B**T + 2*X) - C**T*X
first_file.json,"A^{T}\,X = \frac{C^{T}\,X-A^{T}\,B^{T}}{2}","X = A^{-T}\,\frac{C^{T}\,X-A^{T}-B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A**T*X=(-A**T*B**T + C**T*X)/2,A**T*B**T/2 + A**T*X - C**T*X/2
first_file.json,"2\,A^{T}\,X = C^{T}\,X-A^{T}\,B^{T}","\frac{2\,A^{T}\,X}{X} = C^{T}-A^{T}\,B^{T}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*(A**T*X)=-A**T*B**T + C**T*X,A**T*B**T + 2*A**T*X - C**T*X
first_file.json,"\frac{2\,A^{T}\,X}{X} = C^{T}-A^{T}\,B^{T}","A^{T}\,X = \frac{C^{T}\,X-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),(2*(A**T*X))/X=-A**T*B**T + C**T,A**T*B**T + 2*A**T - C**T
first_file.json,"2\,A^{T}\,X = C^{T}\,X-A^{T}\,B^{T}","\frac{2\,A^{T}\,X}{X} = C^{T}-A^{T}\,B^{T}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*(A**T*X)=-A**T*B**T + C**T*X,A**T*B**T + 2*A**T*X - C**T*X
first_file.json,"\frac{2\,A^{T}\,X}{X} = C^{T}-A^{T}\,B^{T}","A^{T}\,X = \frac{C^{T}-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),(2*(A**T*X))/X=-A**T*B**T + C**T,A**T*B**T + 2*A**T - C**T
first_file.json,"A^{T}\,X = \frac{C^{T}-A^{T}\,B^{T}}{2}","X = A^{-T}\,\frac{C^{T}-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A**T*X=(-A**T*B**T + C**T)/2,A**T*B**T/2 + A**T*X - C**T/2
first_file.json,"2\,A^{T}\,X-C^{T}\,X = -A^{T}\,B^{T}","A^{T}\,X = \frac{C^{T}-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*(A**T*X) - C**T*X=-A**T*B**T,A**T*B**T + X*(2*A**T - C**T)
first_file.json,"A^{T}\,X = \frac{C^{T}-A^{T}\,B^{T}}{2}","X = A^{-T}\,\frac{C^{T}-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A**T*X=(-A**T*B**T + C**T)/2,A**T*B**T/2 + A**T*X - C**T/2
first_file.json,"2\,A^{T}\,X-C^{T}\,X = -A^{T}\,B^{T}","A^{T}\,X-C^{T}\,X = \frac{-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*(A**T*X) - C**T*X=-A**T*B**T,A**T*B**T + X*(2*A**T - C**T)
first_file.json,"A^{T}\,X-C^{T}\,X = \frac{-A^{T}\,B^{T}}{2}","X = A^{-1}-C^{-1}\,\frac{-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A**T*X - C**T*X=-A**T*B**T/2,A**T*B**T/2 + X*(A**T - C**T)
first_file.json,"2\,A^{T}\,X-C^{T}\,X = -A^{T}\,B^{T}","A^{T}\,X\,\frac{-C^{T}\,X}{2} = \frac{-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*(A**T*X) - C**T*X=-A**T*B**T,A**T*B**T + X*(2*A**T - C**T)
first_file.json,"A^{T}\,X\,\frac{-C^{T}\,X}{2} = \frac{-A^{T}\,B^{T}}{2}","X = A^{-1}-C^{-1}\,\frac{-A^{T}\,B^{T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}2.374204237174407& -4.54369130173263\\5.567679095993171& -1.8924977873042401\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.7649543044158555& -2.4742157663283098\\-1.8658124648102992& -4.538480389661004\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.14837833819594& -4.458593176257435\\-0.09482790215064796& -0.07899998661334529\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.6183866376817411& 1.6399162405474026\\1.0979811167345388& 2.556914270789528\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A**T*(X*(-C**T*X/2))=-A**T*B**T/2,A**T*B**T/2 - A**T*C**T*X**2/2
first_file.json,"B^{-T} = (A^{T}\,C-3)\,X","B^{-T}\,\left( A^{T}\,C-3\right)^{-1} = X",\left( \left( \left( \left( A = \left( \begin{array}{cc}-2.0479992815225865& 5.584676179567326\\-0.09384473511443936& -0.1044018217435898\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}-2.4011036216705306& -0.2546772594331461\\1.7545875558145019& -4.348318008084023\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.546713720575343& 1.1428384757297598\\-1.2208012406827224& -3.35140683562936\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}0.053055641481794924& 0.038537134205451753\\0.3654108641530156& 0.2017763443862636\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),B**(-T)=X*(A**T*C - 3),-X*(A**T*C - 3) + B**(-T)
first_file.json,"B^{-T} = A^{T}\,C\,X-3\,X","B^{-T} = (A^{T}\,C-3)\,X",\left( \left( \left( \left( A = \left( \begin{array}{cc}-2.0479992815225865& 5.584676179567326\\-0.09384473511443936& -0.1044018217435898\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}-2.4011036216705306& -0.2546772594331461\\1.7545875558145019& -4.348318008084023\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.546713720575343& 1.1428384757297598\\-1.2208012406827224& -3.35140683562936\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}0.053055641481794924& 0.038537134205451753\\0.3654108641530156& 0.2017763443862636\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),B**(-T)=A**T*(C*X) - 3*X,-X*(A**T*C - 3) + B**(-T)
first_file.json,"x\,(2 + 4\,a) = -7",0 = -7,\textrm{wahr},x(4*a + 2)=-7,x(4*a + 2) + 7
first_file.json,"(-C^{T} + A^{T} \cdot 3)\,X = -A^{T}\,B","X = \left( -C^{T} + A^{T} \cdot 3\right)^{-1}-A^{T}\,B",\left( \left( \left( \left( A = \left( \begin{array}{cc}1.7305861805258935& -4.113105364027507\\0.2613778180110904& 0.6816488873993238\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.9720129357164984& 3.056990194207943\\-0.7766677295560642& 2.4655537702429386\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-1.4848623909613052& -3.4547825948583437\\-3.1097430704213433& 0.20206526695428462\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.8435110905988459& -1.1376133125445116\\0.6220200284245033& 0.4264610848562381\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),X*(A**T*3 - C**T)=-A**T*B,A**T*B + X*(3*A**T - C**T)
first_file.json,"2\,X = B\,C\,A","X = \frac{B\,C\,A}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}4.77615008906219& 2.11986173365303\\5.971010711902695& 5.451200694040823\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.098318168225843& -1.978631044885065\\4.297490647895101& 3.431609268981399\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}3.7001096908387385& -4.722869531600686\\-0.3883294723166104& 2.4113194561550975\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-5.340044330090352& -8.99463344668566\\6.366863594059016& 6.069887306882241\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*X=B*(A*C),-A*B*C + 2*X
first_file.json,"2\,X = C\,A\,B","X = \frac{C\,A\,B}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}4.77615008906219& 2.11986173365303\\5.971010711902695& 5.451200694040823\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.098318168225843& -1.978631044885065\\4.297490647895101& 3.431609268981399\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}3.7001096908387385& -4.722869531600686\\-0.3883294723166104& 2.4113194561550975\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-5.340044330090352& -8.99463344668566\\6.366863594059016& 6.069887306882241\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),2*X=C*(A*B),-A*B*C + 2*X
first_file.json,"C\,A = B^{T}-3\,X","C\,A-B^{T} = -3\,x",\left( \left( \left( \left( A = \left( \begin{array}{cc}3.513450525605993& 5.704719224753722\\-2.3656248806910627& -0.029243341741048923\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.8960377455677762& -0.2164202488827467\\5.287342513798174& -1.2616176315815002\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}5.478949597405743& -2.7710922814885257\\-2.582611909867981& 1.724863399777325\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-7.969781814995464& -8.683187528187528\\4.312612899195274& 4.507299650192204\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A*C=B**T - 3*X,A*C - B**T + 3*X
first_file.json,"C\,A-B^{T} = -3\,x","X = -\left( \frac{C\,A-B}{3}\right)^{T}",\left( \left( \left( \left( A = \left( \begin{array}{cc}3.513450525605993& 5.704719224753722\\-2.3656248806910627& -0.029243341741048923\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.8960377455677762& -0.2164202488827467\\5.287342513798174& -1.2616176315815002\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}5.478949597405743& -2.7710922814885257\\-2.582611909867981& 1.724863399777325\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-7.969781814995464& -8.683187528187528\\4.312612899195274& 4.507299650192204\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A*C - B**T=-3*x,A*C - B**T + 3*x
first_file.json,"C\,A-B^{T} = -3\,X","X = -\left( \frac{C\,A-B}{3}\right)^{T}",\left( \left( \left( \left( A = \left( \begin{array}{cc}3.513450525605993& 5.704719224753722\\-2.3656248806910627& -0.029243341741048923\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.8960377455677762& -0.2164202488827467\\5.287342513798174& -1.2616176315815002\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}5.478949597405743& -2.7710922814885257\\-2.582611909867981& 1.724863399777325\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-7.969781814995464& -8.683187528187528\\4.312612899195274& 4.507299650192204\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A*C - B**T=-3*X,A*C - B**T + 3*X
first_file.json,"C\,A-B^{T} = -3\,X","X = \left( \frac{C\,A-B}{-3}\right)^{T}",\left( \left( \left( \left( A = \left( \begin{array}{cc}3.513450525605993& 5.704719224753722\\-2.3656248806910627& -0.029243341741048923\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}1.8960377455677762& -0.2164202488827467\\5.287342513798174& -1.2616176315815002\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}5.478949597405743& -2.7710922814885257\\-2.582611909867981& 1.724863399777325\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-7.969781814995464& -8.683187528187528\\4.312612899195274& 4.507299650192204\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),A*C - B**T=-3*X,A*C - B**T + 3*X
first_file.json,"A^{-T}\,(B^{-T} + 2\,X) = C^{T}","C^{T}\,\left( A^{-T}\right)^{-1} = B^{-T} + 2\,X",\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),(2*X + B**(-T))/A**T=C**T,-C**T + (2*B**T*X + 1)/(A**T*B**T)
first_file.json,"C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T} = +2\,X","X = \frac{C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),-1/B**T + C**T/(A**(-T))=2*X,A**T*C**T - 2*X - 1/B**T
first_file.json,"A^{-T}\,(B^{-T} + 2\,X) = C^{T}","C^{T\,\frac{1}{A^{-T}}} = B^{-T} + 2\,X",\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),(2*X + B**(-T))/A**T=C**T,-C**T + (2*B**T*X + 1)/(A**T*B**T)
first_file.json,"C^{T\,\frac{1}{A^{-T}}} = B^{-T} + 2\,X","C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T} = +2\,X",\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),C**(T/(A**(-T)))=2*X + B**(-T),C**(A**T*T) - 2*X - 1/B**T
first_file.json,"C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T} = +2\,X","X = \frac{C^{T}\,\left( A^{-T}\right)^{-1}-B^{-T}}{2}",\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),-1/B**T + C**T/(A**(-T))=2*X,A**T*C**T - 2*X - 1/B**T
first_file.json,"A^{-T}\,(B^{-T} + 2\,X) = C^{T}","C^{T}\,A^{-T-1} = B^{-T} + 2\,X",\left( \left( \left( \left( A = \left( \begin{array}{cc}5.332682258719769& -1.8911265807015853\\5.706667708017646& 1.8952872780883734\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}4.858194735982529& 2.5306254159096575\\-3.4654196445197947& -0.7555687758428462\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}1.0309627756251967& 3.368355706491771\\1.3644422738413784& 4.976260045701716\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}12.434032027114414& 17.49718473984031\\2.4653105253353624& 2.9491656592423823\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),(2*X + B**(-T))/A**T=C**T,-C**T + (2*B**T*X + 1)/(A**T*B**T)
first_file.json,"q\,(h-y) = h + y","q\,h-g\,y = h + y",\left( h\neq y\right) \wedge \left( q\neq 1\right),q(h - y)=h + y,-h - y + q(h - y)
first_file.json,"-q\,y-y = h\,(1-q)","-q\,y-\frac{y}{1-q} = h",\left( h\neq y\right) \wedge \left( q\neq 1\right),-q*y - y=h(1 - q),y*(-q - 1) - h(1 - q)
first_file.json,-2-3 = b + 3,"-3\,b = 6",\textrm{wahr},-3 - 2=b + 3,-b - 8
first_file.json,"-4\,s + 2 = 4\,s-r",2 = -r,\textrm{wahr},2 - 4*s=-r + 4*s,r - 8*s + 2
first_file.json,-2-3 = b + 3,"-3\,b = 6",\textrm{wahr},-3 - 2=b + 3,-b - 8
first_file.json,"-4\,s + 2 = 4\,s-r",2 = -r,\textrm{wahr},2 - 4*s=-r + 4*s,r - 8*s + 2
first_file.json,"-8\,s = -r-2","-8\,s = 2\,r",\textrm{wahr},-8*s=-r - 2,r - 8*s + 2
first_file.json,-2-3 = b + 3,"-3\,b = 6",\textrm{wahr},-3 - 2=b + 3,-b - 8
first_file.json,"-8\,s = -r-2","-8\,s = -2\,r",\textrm{wahr},-8*s=-r - 2,r - 8*s + 2
first_file.json,"n + 2 = 4\,n-o","3\,n = -o-2",\textrm{wahr},n + 2=4*n - o,-3*n + o + 2
first_file.json,"n + 2 = 4\,n-o","3\,n = -o-2",\textrm{wahr},n + 2=4*n - o,-3*n + o + 2
first_file.json,h = 2,L = \left\{2\right\},\textrm{wahr},h=2,h - 2
first_file.json,h = 2,L = \left\{2\right\},\textrm{wahr},h=2,h - 2
first_file.json,"-4\,c = -2\,w-2",c = \frac{w}{2}-\frac{1}{2},\textrm{wahr},-4*c=-2*w - 2,-4*c + 2*w + 2
first_file.json,"-4\,c = -2\,w-2","c = \frac{2\,w}{4}-\frac{2}{4}",\textrm{wahr},-4*c=-2*w - 2,-4*c + 2*w + 2
first_file.json,"-c = -\frac{2\,w}{4}-\frac{2}{4}",c = \frac{w}{2}-\frac{1}{2},\textrm{wahr},-c=-1*2*w/4 - 2/4,-c + w/2 + 1/2
first_file.json,"5\,l = -5\,b-1",l = -b-0,\textrm{wahr},5*l=-5*b - 1,5*b + 5*l + 1
first_file.json,"-4\,n-3 = 3\,n-y","-3 = -1\,n-y",\textrm{wahr},-4*n - 3=3*n - y,-7*n + y - 3
first_file.json,"7\,s-4 = 4\,c",\mathbb{L} = \left\{\frac{1}{8}\right\},\textrm{wahr},7*s - 4=4*c,-4*c + 7*s - 4
